DeltaTs,Gamma
38939,-0.1674
38928,0.1598
38917,0.5673
38906,-0.59
38897,-1.3891
38896,1.2417
38887,1.5277
38885,-1.3114
38876,-0.7531
38865,0.7047
38854,-0.065
38843,-0.0714
38833,0.6274
38822,-0.8111
38811,1.2789
38802,1.0243
38791,-0.914
38780,0.2792
38770,-0.2186
38759,-0.4766
38748,0.4697
38737,-1.1992
38727,1.2266
38718,0.7813
38707,-0.9208
38696,0.0825
38685,-0.1715
38674,-0.6296
38664,0.5893
38653,-1.3932
38644,-1.2163
38642,1.2944
38633,0.9323
38622,-0.4912
38612,0.229
38601,0.2795
38590,-0.471
38579,1.0949
38569,-1.117
38560,-1.0038
38549,0.898
38538,-0.2191
38527,0.198
38517,0.525
38506,-0.5401
38497,-1.4062
38495,1.2097
38484,-1.253
38475,-0.7653
38465,0.7729
38454,-0.0731
38443,0
38432,0.6207
38422,-0.7398
38411,1.2745
38402,1.1044
38400,-1.5359
38391,-0.9157
38381,0.3613
38370,-0.2268
38359,-0.3984
38348,0.4574
38338,-1.1319
38327,1.2085
38318,0.8141
38307,-0.9777
38296,0.1102
38286,-0.2343
38275,-0.6104
38264,0.5243
38254,-1.38
38245,-1.2869
38243,1.2284
38234,0.9353
38223,-0.5683
38213,0.2292
38202,0.2002
38191,-0.4694
38180,1.0124
38170,-1.1135
38161,-1.0719
38150,0.9211
38139,-0.2772
38129,0.229
38118,0.4746
38107,-0.4982
38098,-1.4306
38097,1.1695
38086,-1.2026
38077,-0.7844
38066,0.8355
38056,-0.0858
38045,0.0694
38034,0.6119
38024,-0.6688
38013,1.2687
38004,1.1875
38002,-1.4667
37993,-0.914
37983,0.4456
37972,-0.2317
37961,-0.3178
37951,0.4495
37940,-1.0596
37929,1.1964
37920,0.8541
37910,-1.0262
37899,0.1455
37888,-0.2879
37878,-0.5842
37867,0.466
37856,-1.36
37848,-1.3552
37846,1.1677
37837,0.9413
37826,-0.6445
37816,0.2295
37805,0.1201
37794,-0.4691
37784,0.9278
37773,-1.1128
37764,-1.1456
37753,0.9377
37743,-0.3407
37732,0.2531
37722,0.419
37711,-0.4637
37702,-1.4606
37700,1.1243
37690,-1.1588
37681,-0.8094
37670,0.8927
37659,-0.1063
37649,0.1332
37638,0.5961
37628,-0.6021
37617,1.2582
37608,1.2714
37606,-1.3992
37597,-0.9108
37587,0.5345
37576,-0.2327
37566,-0.2322
37555,0.4467
37544,-0.9828
37534,1.1902
37525,0.9003
37514,-1.0673
37504,0.187
37493,-0.3338
37482,-0.5506
37472,0.4152
37461,-1.3337
37452,-1.4198
37451,1.1127
37442,0.9505
37431,-0.7181
37421,0.2324
37410,0.0401
37399,-0.4676
37389,0.8427
37378,-1.1117
37369,-1.222
37359,0.949
37348,-0.4092
37338,0.2711
37327,0.3569
37317,-0.437
37308,-1.4993
37306,1.0711
37295,-1.1239
37286,-0.8424
37276,0.9438
37265,-0.133
37255,0.1927
37244,0.5753
37234,-0.5381
37223,1.2439
37214,1.3554
37213,-1.3341
37204,-0.9075
37193,0.6228
37183,-0.2322
37172,-0.1455
37161,0.4466
37151,-0.9034
37140,1.1881
37132,0.9531
37121,-1.0994
37110,0.2355
37100,-0.3714
37089,-0.5096
37079,0.3723
37068,-1.2977
37059,-1.4808
37058,1.0643
37049,0.9652
37038,-0.7886
37028,0.2392
37017,-0.0376
37007,-0.465
36996,0.7568
36986,-1.1114
36977,-1.3012
36975,1.5121
36966,0.956
36956,-0.4816
36945,0.2834
36935,0.2911
36924,-0.4154
36914,1.0137
36903,-1.0953
36894,-0.8833
36884,0.9879
36873,-0.1687
36863,0.2452
36852,0.5459
36842,-0.4804
36831,1.2234
36822,1.4387
36821,-1.2721
36812,-0.9051
36801,0.7124
36791,-0.2312
36780,-0.057
36770,0.4492
36759,-0.8219
36749,1.1893
36740,1.0109
36738,-1.5198
36730,-1.1243
36719,0.2909
36709,-0.4011
36698,-0.4614
36688,0.3364
36677,-1.2549
36667,1.0228
36658,0.9847
36647,-0.8554
36637,0.2502
36626,-0.112
36616,-0.4577
36606,0.6743
36595,-1.1088
36586,-1.3807
36585,1.4258
36576,0.9608
36565,-0.5562
36555,0.291
36544,0.2195
36534,-0.4012
36523,0.9502
36513,-1.0743
36504,-0.9317
36494,1.0244
36483,-0.2112
36473,0.2924
36462,0.5104
36452,-0.4277
36442,1.1965
36433,1.519
36431,-1.2151
36422,-0.9053
36412,0.7993
36401,-0.2314
36391,0.0299
36380,0.4519
36370,-0.7395
36360,1.1921
36351,1.0736
36349,-1.445
36340,-1.1425
36330,0.352
36320,-0.4227
36309,-0.4056
36299,0.3083
36288,-1.2031
36278,0.9891
36269,1.012
36259,-0.9162
36248,0.2661
36238,-0.1826
36227,-0.4474
36217,0.5941
36207,-1.1037
36198,-1.4612
36196,1.3403
36187,0.9631
36177,-0.6318
36167,0.2961
36156,0.1468
36146,-0.3911
36135,0.8833
36125,-1.0587
36116,-0.9874
36106,1.0539
36095,-0.2636
36085,0.3316
36075,0.466
36064,-0.3814
36054,1.1621
36043,-1.163
36035,-0.9094
36024,0.8846
36014,-0.2338
36004,0.1152
35993,0.4537
35983,-0.6579
35972,1.196
35964,1.1403
35962,-1.3684
35953,-1.1543
35943,0.4183
35933,-0.4375
35922,-0.3438
35912,0.2873
35901,-1.1456
35891,0.9613
35882,1.0448
35872,-0.9713
35862,0.2895
35851,-0.2477
35841,-0.4303
35831,0.5194
35820,-1.0931
35811,-1.5387
35810,1.2601
35801,0.9654
35791,-0.7085
35780,0.2987
35770,0.0711
35760,-0.3854
35749,0.8123
35739,-1.0493
35730,-1.0501
35720,1.0771
35710,-0.3224
35699,0.3648
35689,0.4139
35679,-0.3414
35668,1.121
35658,-1.117
35649,-0.9184
35639,0.9646
35629,-0.2397
35618,0.1975
35608,0.4531
35598,-0.5781
35587,1.1975
35579,1.2096
35577,-1.2928
35568,-1.1616
35558,0.4886
35548,-0.4467
35537,-0.2758
35527,0.2732
35517,-1.0788
35506,0.9413
35498,1.0857
35487,-1.0198
35477,0.3191
35467,-0.3067
35456,-0.4084
35446,0.4487
35436,-1.079
35425,1.184
35417,0.9687
35407,-0.7831
35396,0.3005
35386,-0.0042
35376,-0.3807
35365,0.7399
35355,-1.0424
35346,-1.12
35345,1.5386
35336,1.0935
35326,-0.3896
35316,0.391
35305,0.354
35295,-0.3092
35285,1.072
35274,-1.0774
35266,-0.933
35256,1.0399
35245,-0.2508
35235,0.275
35225,0.4493
35214,-0.5007
35204,1.1975
35196,1.2809
35194,-1.2178
35185,-1.1646
35175,0.5627
35165,-0.4506
35154,-0.2038
35144,0.2637
35134,-1.008
35124,0.9268
35115,1.1329
35105,-1.0619
35095,0.3562
35084,-0.3582
35074,-0.3784
35064,0.3864
35053,-1.0584
35043,1.1138
35035,0.9748
35024,-0.8561
35014,0.3041
35004,-0.0807
34994,-0.3774
34983,0.6657
34973,-1.0379
34965,-1.1948
34963,1.4688
34954,1.104
34944,-0.4632
34934,0.4111
34924,0.2876
34913,-0.2831
34903,1.0164
34893,-1.0446
34884,-0.9536
34874,1.1094
34864,-0.2673
34854,0.3473
34843,0.4395
34833,-0.4278
34823,1.1921
34815,1.352
34813,-1.1463
34804,-1.1669
34794,0.6384
34784,-0.4511
34774,-0.1265
34763,0.2597
34753,-0.9299
34743,0.9184
34735,1.1879
34724,-1.0963
34714,0.3992
34704,-0.4036
34694,-0.343
34683,0.3298
34673,-1.0317
34663,1.0501
34655,0.9844
34644,-0.9253
34634,0.3109
34624,-0.1541
34614,-0.3725
34604,0.5914
34593,-1.034
34585,-1.2741
34583,1.3975
34575,1.1097
34565,-0.5427
34554,0.4246
34544,0.2149
34534,-0.2638
34524,0.9541
34514,-1.019
34505,-0.982
34495,1.1715
34485,-0.2904
34475,0.4129
34464,0.4246
34454,-0.36
34444,1.1831
34436,1.4237
34434,-1.077
34425,-1.1673
34415,0.7155
34405,-0.4497
34395,-0.0476
34385,0.2581
34375,-0.849
34365,0.9133
34356,1.2478
34346,-1.1241
34336,0.4502
34326,-0.4408
34315,-0.2999
34305,0.2817
34295,-0.9981
34285,0.9943
34277,0.9994
34266,-0.9914
34256,0.3213
34246,-0.2256
